site,transect,genus_species,abundance,biomass
Thousand Steps,A,Alloniscus perconvexus,261,8.4
Thousand Steps,A,Megalorchestia corniculata,4379,257.66
Thousand Steps,B,Alloniscus perconvexus,159,2.02
Thousand Steps,B,Megalorchestia corniculata,4354,303.6
Thousand Steps,C,Alloniscus perconvexus,95,0.26
Thousand Steps,C,Epantius obscurus,63,0.69
Thousand Steps,C,Fucellia rufitibia,127,0.64
Thousand Steps,C,Megalorchestia corniculata,7862,282
Arroyo Burro East,A,Bledius fenyesi,909,1.22
Arroyo Burro East,A,Megalorchestia benedicti,1207,7.35
Arroyo Burro East,A,Megalorchestia californiana,381,3.46
Arroyo Burro East,A,Megalorchestia corniculata,827,3.26
Arroyo Burro East,B,Alloniscus perconvexus,216,2.32
Arroyo Burro East,B,Megalorchestia benedicti,1655,7.2
Arroyo Burro East,B,Megalorchestia corniculata,318,2.22
Arroyo Burro East,B,Megalorchestia minor,127,0.49
Arroyo Burro East,C,Alloniscus perconvexus,550,74.89
Arroyo Burro East,C,Bledius fenyesi,572,0.86
Arroyo Burro East,C,Megalorchestia benedicti,5508,21.82
Arroyo Burro East,C,Megalorchestia californiana,252,7.84
Arroyo Burro East,C,Megalorchestia corniculata,2605,14.64
Arroyo Burro East,C,Neopachylopus sulcifrons,190,4.05
Arroyo Burro East,C,Phaleria rotundata,572,4.05
Arroyo Burro West,A,Akephorus marinus,152,1.33
Arroyo Burro West,A,Alloniscus perconvexus,458,1.14
Arroyo Burro West,A,Bledius fenyesi,76,0.05
Arroyo Burro West,A,Cercyon fimbriatus,229,0.63
Arroyo Burro West,A,Hadrotes crassus,152,15.49
Arroyo Burro West,A,Megalorchestia benedicti,10466,57.48
Arroyo Burro West,A,Megalorchestia californiana,3972,39.42
Arroyo Burro West,A,Megalorchestia corniculata,12910,147.35
Arroyo Burro West,A,Phaleria rotundata,611,6.88
Arroyo Burro West,B,Bledius fenyesi,89,0.14
Arroyo Burro West,B,Megalorchestia benedicti,5169,35.65
Arroyo Burro West,B,Megalorchestia corniculata,7843,139.46
Arroyo Burro West,B,Phaleria rotundata,560,8.38
Arroyo Burro West,B,Thinopinus pictus,178,19.84
Arroyo Burro West,C,Alloniscus perconvexus,127,0.53
Arroyo Burro West,C,Megalorchestia benedicti,636,5.91
Arroyo Burro West,C,Megalorchestia californiana,127,6.18
Arroyo Burro West,C,Megalorchestia corniculata,1336,26.29
Arroyo Burro West,C,Neopachylopus sulcifrons,197,7.22
Arroyo Burro West,C,Phaleria rotundata,133,1.6
Arroyo Quemado,A,Cercyon fimbriatus,159,0.54
Arroyo Quemado,A,Megalorchestia benedicti,1114,6.94
Arroyo Quemado,A,Megalorchestia corniculata,12464,269.93
Arroyo Quemado,A,Phaleria rotundata,50,1.1
Arroyo Quemado,B,Emphyastes fucicola,140,2.21
Arroyo Quemado,B,Megalorchestia benedicti,840,2.51
Arroyo Quemado,B,Megalorchestia corniculata,7142,83.72
Arroyo Quemado,B,Neopachylopus sulcifrons,140,7.82
Arroyo Quemado,C,Alloniscus perconvexus,114,0.13
Arroyo Quemado,C,Bledius fenyesi,649,1.07
Arroyo Quemado,C,Emphyastes fucicola,76,1.19
Arroyo Quemado,C,Megalorchestia benedicti,11573,82.89
Arroyo Quemado,C,Megalorchestia corniculata,33346,672.09
Arroyo Quemado,C,Phaleria rotundata,114,1.68
Butterfly,A,Emphyastes fucicola,178,0.32
Butterfly,A,Megalorchestia benedicti,356,1.67
Butterfly,A,Megalorchestia corniculata,1578,12.84
Butterfly,A,Megalorchestia minor,101,0.6
Butterfly,A,Thinopinus pictus,178,5.13
Butterfly,B,Megalorchestia benedicti,7563,47.29
Butterfly,B,Megalorchestia corniculata,10160,102.75
Butterfly,B,Phaleria rotundata,152,3.07
Butterfly,C,Bledius fenyesi,477,0.78
