site,survey,species,count
Arroyo Burro East,1,black_bellied_plover,0
Arroyo Burro East,1,snowy_plover,0
Arroyo Burro East,1,semipalmated_plover,0
Arroyo Burro East,1,killdeer,0
Arroyo Burro East,1,greater_yellowlegs,0
Arroyo Burro East,1,willet,0
Arroyo Burro East,1,spotted_sandpiper,0
Arroyo Burro East,1,whimbrel,9
Arroyo Burro East,1,long_billed_curlew,28
Arroyo Burro East,1,marbled_godwit,0
Arroyo Burro East,1,black_turnstone,0
Arroyo Burro East,1,sanderling,0
Arroyo Burro East,1,western_sandpiper,0
Arroyo Burro East,1,least_sandpiper,0
Arroyo Burro East,1,dunlin,0
Arroyo Burro East,2,black_bellied_plover,0
Arroyo Burro East,2,snowy_plover,0
Arroyo Burro East,2,semipalmated_plover,0
Arroyo Burro East,2,killdeer,0
Arroyo Burro East,2,greater_yellowlegs,0
Arroyo Burro East,2,willet,0
Arroyo Burro East,2,spotted_sandpiper,0
Arroyo Burro East,2,whimbrel,0
Arroyo Burro East,2,long_billed_curlew,0
Arroyo Burro East,2,marbled_godwit,0
Arroyo Burro East,2,black_turnstone,0
Arroyo Burro East,2,sanderling,0
Arroyo Burro East,2,western_sandpiper,0
Arroyo Burro East,2,least_sandpiper,0
Arroyo Burro East,2,dunlin,0
Arroyo Burro East,3,black_bellied_plover,2
Arroyo Burro East,3,snowy_plover,0
Arroyo Burro East,3,semipalmated_plover,0
Arroyo Burro East,3,killdeer,0
Arroyo Burro East,3,greater_yellowlegs,0
Arroyo Burro East,3,willet,0
Arroyo Burro East,3,spotted_sandpiper,0
Arroyo Burro East,3,whimbrel,0
Arroyo Burro East,3,long_billed_curlew,2
Arroyo Burro East,3,marbled_godwit,3
Arroyo Burro East,3,black_turnstone,0
Arroyo Burro East,3,sanderling,0
Arroyo Burro East,3,western_sandpiper,0
Arroyo Burro East,3,least_sandpiper,0
Arroyo Burro East,3,dunlin,0
Arroyo Burro West,1,black_bellied_plover,4
Arroyo Burro West,1,snowy_plover,0
Arroyo Burro West,1,semipalmated_plover,0
Arroyo Burro West,1,killdeer,0
Arroyo Burro West,1,greater_yellowlegs,0
Arroyo Burro West,1,willet,0
Arroyo Burro West,1,spotted_sandpiper,0
Arroyo Burro West,1,whimbrel,4
Arroyo Burro West,1,long_billed_curlew,20
Arroyo Burro West,1,marbled_godwit,12
Arroyo Burro West,1,black_turnstone,0
Arroyo Burro West,1,sanderling,0
Arroyo Burro West,1,western_sandpiper,0
Arroyo Burro West,1,least_sandpiper,0
Arroyo Burro West,1,dunlin,0
Arroyo Burro West,2,black_bellied_plover,7
Arroyo Burro West,2,snowy_plover,0
Arroyo Burro West,2,semipalmated_plover,0
Arroyo Burro West,2,killdeer,0
Arroyo Burro West,2,greater_yellowlegs,0
Arroyo Burro West,2,willet,0
Arroyo Burro West,2,spotted_sandpiper,1
Arroyo Burro West,2,whimbrel,1
Arroyo Burro West,2,long_billed_curlew,0
Arroyo Burro West,2,marbled_godwit,0
Arroyo Burro West,2,black_turnstone,0
Arroyo Burro West,2,sanderling,48
Arroyo Burro West,2,western_sandpiper,0
Arroyo Burro West,2,least_sandpiper,0
Arroyo Burro West,2,dunlin,0
Arroyo Burro West,3,black_bellied_plover,3
Arroyo Burro West,3,snowy_plover,0
Arroyo Burro West,3,semipalmated_plover,0
Arroyo Burro West,3,killdeer,0
Arroyo Burro West,3,greater_yellowlegs,0
Arroyo Burro West,3,willet,0
Arroyo Burro West,3,spotted_sandpiper,0
Arroyo Burro West,3,whimbrel,0
Arroyo Burro West,3,long_billed_curlew,0
Arroyo Burro West,3,marbled_godwit,3
Arroyo Burro West,3,black_turnstone,0
Arroyo Burro West,3,sanderling,0
Arroyo Burro West,3,western_sandpiper,0
Arroyo Burro West,3,least_sandpiper,0
Arroyo Burro West,3,dunlin,0
Arroyo Quemado,1,black_bellied_plover,0
Arroyo Quemado,1,snowy_plover,0
Arroyo Quemado,1,semipalmated_plover,0
